Brand,name,Year,KM,Fuel,Price,Matricula,Categoria
Opel,Corsa,2022,47707,Diésel,15700,8299 MXR,"Deportivo, Turismo"
Peugeot,Rifter,2019,57194,Diésel,24900,1749 AIX,"Deportivo, Turismo"
Renault,Kadjar,2017,66428,Diésel,17800,5953 SOC,"Deportivo, Turismo"
Dacia,Sandero,2016,48430,Gasolina,9300,5988 EEK,"Deportivo, Turismo"
Nissan,QASHQAI,2020,72209,Gasolina,21500,9064 AEO,Turismo
BMW,X2,2018,123979,Diésel,20900,8905 LFO,Turismo
KIA,Stonic,2018,125737,Diésel,15690,8115 AZL,Turismo
KIA,Stonic,2019,130012,Gasolina,13500,3238 RFW,Turismo
Volkswagen,T-Cross,2020,27769,Gasolina,23800,2984 KZG,"Deportivo, Turismo"
Land Rover,Range Rover Evoque,2019,75212,Híbrido,37900,2981 MEW,"Deportivo, Híbrido / Eléctrico, Turismo"
KIA,Ceed,2020,87537,Gasolina,14450,4056 OVK,Turismo
BMW,X1,2018,71790,Diésel,27800,5207 CFS,Turismo
Hyundai,Tucson,2018,132777,Diésel,20900,9320 NIB,Turismo
Mercedes,Clase GLC,2019,144738,Diésel,34300,3136 ZYF,Turismo
Ford,EcoSport,2018,88534,Gasolina,14990,5659 YCF,"Deportivo, Turismo"
Renault,Kadjar,2019,57969,Diésel,19250,1333 WDR,"Deportivo, Turismo"
Opel,Corsa,2017,119746,Gasolina,9750,8292 DMO,"Deportivo, Turismo"
Volkswagen,Tiguan,2019,44720,Gasolina,23900,1336 RLT,Turismo
Seat,León,2015,62090,Gasolina,12300,8371 DAF,Turismo
Honda,HR-V,2019,1016600,Gasolina,19990,4187 AYG,"Deportivo, Turismo"
Opel,Crossland X,2018,60025,Gasolina,12990,6593 ICG,"Deportivo, Turismo"
KIA,Ceed,2013,116528,Diésel,8990,7222 YMP,Turismo
BMW,Serie 1,2019,84775,Diésel,24990,6554 ZGV,"Deportivo, Turismo"
Seat,Ateca,2018,80943,Diésel,21490,6890 DCO,Turismo
Volkswagen,Golf,2016,94367,Gasolina,16500,6125 XEW,Turismo
Audi,A3,2018,90695,Diésel,18200,8340 PHE,Turismo
Nissan,QASHQAI,2022,36017,Híbrido,21652,6970 KQQ,Turismo
Mazda,CX-30,2020,61031,Gasolina,22790,7067 HLT,Turismo
Hyundai,i10,2020,57328,Gasolina,15200,7149 DJI,Turismo
Dacia,Duster,2020,70586,Gasolina,16990,5817 TGW,"Deportivo, Turismo"
Volvo,XC40,2019,51348,Gasolina,24990,1957 TAE,Turismo
Peugeot,Rifter,2021,22208,Diésel,25590,9260 ANQ,"Deportivo, Turismo"
Citroën,Grand C4 Picasso,2017,160453,Diésel,12950,2941 DKC,"Deportivo, Turismo"
Seat,Arona,2021,7307,Gasolina,19590,3101 RIJ,"Deportivo, Turismo"
Ford,Focus,2016,92760,Gasolina,10200,8122 GNW,"Sedán, Turismo"
Nissan,QASHQAI,2011,140792,Diésel,11900,2690 ZQE,Turismo
Renault,Trafic,2016,157121,Diésel,16490,6762 COO,"Deportivo, Turismo"
Renault,Clio,2018,89798,Gasolina,13500,5396 IDN,"Compacto / Urbano, Turismo"
Volkswagen,Polo,2018,103562,Gasolina,15900,6937 OHL,"Compacto / Urbano, Turismo"
Ford,Fiesta,2022,25691,Gasolina,27990,1964 AME,"Compacto / Urbano, Turismo"
Toyota,Yaris Cross,2022,25445,Híbrido,23700,4111 LAI,"Deportivo, Turismo"
Peugeot,308,2020,81785,Gasolina,15990,2264 SCK,Turismo
Renault,Kangoo Combi,2018,56472,Diésel,15800,6618 RRL,Monovolumen / Furgoneta
Mazda,CX-5,2015,130612,Diésel,14400,6286 MYU,Turismo
Renault,Captur,2021,60867,Gasolina,20300,7171 AFM,"Deportivo, Turismo"
Mercedes,Clase A,2019,89875,Gasolina,29450,1830 UET,Turismo
Seat,León,2013,120024,Gasolina,11990,3406 GNV,Turismo
